,LD1,LD2,LD3,Label
1,0.190189255,1.734106497,-0.405394449,D
25,-0.106272093,0.176961843,0.50812587,D
49,-0.387789673,1.426486719,-0.18727458,D
73,0.221085363,1.152780566,0.079915922,D
97,0.394480475,1.303703651,-1.026398828,D
121,-0.004571721,0.052365185,-0.197507548,D
145,0.069589916,0.729990138,-0.53599523,D
169,0.358360126,0.36978397,-0.146556945,D
193,1.071387465,1.899898872,1.766441136,D
217,1.038859461,0.658760081,0.378610756,D
241,1.16626719,-0.454711411,-2.254000008,D
265,1.233745977,3.358496898,-0.104901849,D
289,0.209755153,-0.039818524,-1.153482409,D
310,-0.094735234,-0.211842733,-0.257048192,D
332,-0.158772459,-1.123944349,-0.833432914,D
356,-0.037228536,-0.192304442,-0.033307956,D
375,-0.064617719,-0.019082212,-0.125160134,D
396,-0.055332975,0.170337088,-0.094086059,D
414,0.762447036,1.974364015,-0.69633519,D
438,0.013764344,-0.330549291,0.463136423,D
462,0.325519128,-0.191521274,-0.428374145,D
486,1.99904837,-4.261781919,4.744074374,A
510,1.5834106,-1.57069777,2.25966187,A
534,0.088602195,0.025212216,-0.11680456,A
549,0.018178701,0.100437534,-0.183779677,A
563,2.898963341,4.184331382,0.687769305,D
587,0.512524277,0.94536641,-0.175558762,D
611,0.747882527,1.862843389,0.200901602,D
635,0.913139223,0.608893184,-1.445736209,D
659,1.424895016,1.945828769,-5.778211138,D
683,-0.098307839,0.24754743,-0.146190705,D
707,0.392148451,0.305969607,1.671461977,D
731,0.102348993,-2.155967111,-0.008579821,D
755,-0.084405093,-0.173364866,-0.160602755,D
779,0.194858994,-0.243613918,-0.354370431,D
802,0.249558384,-0.119234397,-0.513878254,D
826,0.079533435,-0.113483621,-0.199276499,D
847,0.075029608,0.017009635,0.013668337,D
869,0.055910002,0.035655415,-0.106361241,D
889,0.114310703,-0.800360302,0.34805489,D
913,0.164080794,-0.265610734,0.673757646,D
937,0.372580015,-0.280330082,-0.29222109,D
961,0.379034838,0.946115206,-0.336193745,D
985,1.264068419,0.687208136,2.18956309,D
1009,0.817861802,0.449948402,-0.33106512,D
1033,0.437026923,0.642172818,-0.377780444,D
1057,0.117636093,0.124942717,-0.157961318,D
1081,-0.064270812,-0.047737776,0.02902877,D
1105,0.102198967,0.060800634,-0.119113327,D
1129,-0.064969603,0.069062744,-0.056705227,D
1145,0.941824695,0.989943487,1.157797159,D
1169,0.809472946,-0.101427624,-0.296576005,D
