,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,label
1,-14.31580728,-2.098989603,-2.408762098,-0.267712538,-0.201653135,-0.489108729,-1.112416489,0.463082658,0.971807861,D
25,0.898732932,-0.354752328,-0.28872157,-0.08996613,-0.099384896,-0.071832235,-0.160175367,-0.01324272,0.011076686,D
49,-5.29309456,-3.78615111,-1.152156617,0.357455489,-0.523522866,0.272136609,-0.703382726,-0.332524441,0.630036196,D
73,-1.11817238,0.474759391,0.198588466,-0.149535325,0.108390938,0.154185503,-0.093372421,-0.001278377,0.126477847,D
97,-2.554678862,1.05129035,-0.115465101,-0.382088084,0.159433584,-0.382695372,-0.122118401,-0.112469401,0.175455213,D
121,2.172222318,-0.004467098,0.018981319,-0.159569655,-0.021155962,-0.060438027,0.017975445,0.024912311,-0.009908614,D
145,1.375166179,0.189203075,-0.06209109,-0.15502773,-0.039210595,-0.043155173,0.032522782,-0.044717441,0.20067627,D
169,0.987958097,1.370650853,-0.083055066,-0.278511205,-0.198857955,-0.169360135,0.202429577,-0.007969598,-0.024820766,D
193,-10.64354351,-1.718625268,2.482458882,-3.501480463,2.754462619,0.196104813,-0.40889334,0.46072646,-0.072598118,D
217,-7.791415275,-1.929413421,-1.318147619,0.623812313,0.264681467,-0.02166282,-0.072881856,0.073984432,0.128832937,D
241,-10.83223299,-3.667751165,-3.429989844,0.986428381,1.016151229,-0.976357857,0.165129998,0.528811631,0.414488648,D
265,-24.04504018,-3.736194148,-3.383494643,-2.219059689,-0.551679657,-0.146146894,-0.687272769,-0.648568294,0.838688661,D
289,0.922513194,-1.335663551,-0.733781084,-0.173511051,-0.060318548,-0.034243712,-0.137501218,-0.132584446,0.024090101,D
310,1.173832453,-1.105900296,-0.598746227,-0.183852372,-0.038582625,-0.072831653,-0.121797081,-0.089131318,-0.044364661,D
332,-4.211257925,-3.561533146,-2.579386044,-0.160109666,0.035320843,-0.571202881,-0.08192629,-0.213621123,-0.200678977,D
356,2.197223039,-0.481302606,-0.048656044,-0.10051654,-0.064566142,-0.054575075,0.013204108,-0.089924887,-0.07804905,D
375,2.164992554,-0.435391161,-0.069393011,-0.027578486,0.042047062,0.002419745,-0.071583085,0.015296673,-0.04884593,D
396,2.451475308,-0.266396014,0.118774124,-0.015297101,0.033730781,0.029102503,-0.093307021,0.020554515,0.051782419,D
414,-4.053722866,-0.697378021,-0.938839136,-0.346275724,-0.400118745,0.273716723,0.039760116,-0.178273659,0.270179014,D
438,-2.412644026,-1.941941675,-1.593298506,0.031176111,-0.195082923,-0.099142224,-0.343476377,-0.063197791,-0.058921285,D
462,-1.650554692,0.005077583,-0.933459398,-0.447820369,-0.1470868,-0.094736662,0.088717927,-0.070329429,0.180466309,D
486,-6.732582071,-2.291845021,-3.437556402,-1.87275443,-0.713137341,-0.22940258,0.822843069,0.942467386,0.511956949,A
510,-3.594679863,-2.074707453,-2.031155253,-0.682069176,-0.176090041,0.207332951,0.146724184,0.47432478,1.150079509,A
534,2.836118448,-0.013109556,0.20703564,-0.152029976,-0.067379782,0.049059338,-0.029833901,-0.012426109,-0.006771924,A
549,2.890300109,-0.003389414,0.227861205,-0.120233691,-0.02603039,0.03214466,-0.027399415,0.014706143,0.024029793,A
563,-13.58270303,0.389260551,-1.355459249,0.883600135,0.056367161,1.315739615,-0.172545938,-0.147277474,0.624048923,D
587,-0.042828919,0.708530409,-0.54007795,-0.283690017,-0.219744463,-0.191539397,0.180854925,-0.06546465,0.097767975,D
611,-2.941253694,1.177666278,-1.185986276,-0.41553698,-0.482273402,-0.177609509,0.599838375,0.245997447,0.381535713,D
635,-10.40610959,1.149743687,-1.990019748,-1.199232257,-0.736198704,-1.062974335,0.115150659,0.450130387,0.241723433,D
